iter	Passed	Remaining
523	766	695
524	769	696
525	771	695
526	773	694
527	774	692
528	776	691
529	777	689
530	779	688
531	780	686
532	781	684
533	784	684
534	786	683
535	788	682
536	789	680
537	790	679
538	791	677
539	793	675
540	794	674
541	796	672
542	799	672
543	801	671
544	803	670
545	804	669
546	806	667
547	807	666
548	808	664
549	810	662
550	813	662
551	816	662
552	818	661
553	819	659
554	820	658
555	822	656
556	823	655
557	825	653
558	829	654
559	831	653
560	832	651
561	833	649
562	835	648
563	836	646
564	837	645
565	839	643
566	840	641
567	842	640
568	844	639
569	846	638
570	848	637
571	849	635
572	850	633
573	851	632
574	853	630
575	854	629
576	855	627
577	858	626
578	860	625
579	861	624
580	863	622
581	864	620
582	865	619
583	867	617
584	868	616
585	869	614
586	872	614
587	874	612
588	876	611
589	877	610
590	879	608
591	880	606
592	881	604
593	882	603
594	884	601
595	885	599
596	888	599
597	890	598
598	891	597
599	893	595
600	894	593
601	895	592
602	897	590
603	898	589
604	899	587
605	902	586
606	904	585
607	905	584
608	907	582
609	908	580
610	909	578
611	910	577
612	911	575
613	912	573
614	913	572
615	915	570
616	918	570
617	920	568
618	922	567
619	923	565
620	924	564
621	925	562
622	926	560
623	928	559
624	929	557
625	930	556
626	932	554
627	936	554
628	937	553
629	938	551
630	940	549
631	942	548
632	943	547
633	945	546
634	948	545
635	950	544
636	951	542
637	953	541
638	954	539
639	956	537
640	957	536
641	958	534
642	959	532
643	968	535
644	970	533
645	971	532
646	973	530
647	974	529
648	976	528
649	979	527
650	982	526
651	983	525
652	985	523
653	986	521
654	988	520
655	989	518
656	990	517
657	996	517
658	998	516
659	999	514
660	1000	513
661	1002	511
662	1003	510
663	1004	508
664	1006	506
665	1008	505
666	1010	504
667	1011	502
668	1013	501
669	1014	499
670	1015	497
671	1017	496
672	1018	494
673	1019	492
674	1023	492
675	1026	491
676	1027	490
677	1029	488
678	1030	487
679	1032	485
680	1033	484
681	1035	482
682	1038	481
683	1040	480
684	1042	479
685	1043	477
686	1045	476
687	1046	474
688	1047	473
689	1049	471
690	1053	471
691	1055	469
692	1057	468
693	1059	467
694	1060	465
695	1062	463
696	1064	462
697	1108	479
698	1109	477
699	1111	476
700	1113	474
701	1117	474
702	1119	472
703	1120	471
704	1122	469
705	1123	467
706	1124	466
707	1126	464
708	1127	462
709	1129	461
710	1132	460
711	1135	459
712	1138	458
713	1140	456
714	1141	454
715	1142	453
716	1146	452
717	1150	451
718	1152	450
719	1153	448
720	1155	447
721	1156	445
722	1157	443
723	1162	443
724	1164	441
725	1165	439
726	1166	438
727	1168	436
728	1169	434
729	1171	433
730	1172	431
731	1177	431
732	1179	429
733	1180	427
734	1181	425
735	1182	424
736	1183	422
737	1185	420
738	1187	419
739	1192	418
740	1193	417
741	1195	415
742	1197	414
743	1199	412
744	1201	411
745	1205	410
746	1208	409
747	1210	407
748	1212	406
749	1213	404
750	1214	402
751	1215	400
752	1216	399
753	1220	398
754	1222	396
755	1223	394
756	1224	393
757	1225	391
758	1226	389
759	1227	387
760	1228	385
761	1229	384
762	1231	382
763	1232	380
764	1247	383
765	1252	382
766	1254	381
767	1256	379
768	1257	377
769	1258	376
770	1260	374
771	1262	372
772	1263	371
773	1264	369
774	1266	367
775	1268	366
776	1269	364
777	1270	362
778	1271	360
779	1273	359
780	1274	357
781	1275	355
782	1277	353
783	1278	352
784	1280	350
785	1281	349
786	1283	347
787	1284	345
788	1285	343
789	1286	342
790	1287	340
791	1288	338
792	1290	336
793	1291	334
794	1292	333
795	1293	331
796	1294	329
797	1296	328
798	1297	326
799	1298	324
800	1299	322
801	1300	321
802	1301	319
803	1302	317
804	1303	315
805	1304	313
806	1305	312
807	1306	310
808	1307	308
809	1308	306
810	1309	305
811	1311	303
812	1312	301
813	1313	300
814	1314	298
815	1315	296
816	1316	294
817	1317	293
818	1318	291
819	1320	289
820	1321	288
821	1322	286
822	1324	284
823	1325	283
824	1327	281
825	1328	279
826	1329	278
827	1330	276
828	1331	274
829	1332	272
830	1333	271
831	1334	269
832	1335	267
833	1335	265
834	1339	264
835	1341	263
836	1342	261
837	1343	259
838	1345	258
839	1346	256
840	1347	254
841	1348	253
842	1349	251
843	1351	249
844	1354	248
845	1355	246
846	1356	245
847	1357	243
848	1358	241
849	1359	239
850	1360	238
851	1361	236
852	1362	234
853	1363	233
854	1364	231
855	1364	229
856	1366	227
857	1367	226
858	1368	224
859	1370	223
860	1371	221
861	1372	219
862	1373	218
863	1374	216
864	1375	214
865	1376	213
866	1377	211
867	1378	209
868	1379	207
869	1380	206
870	1382	204
871	1383	203
872	1384	201
873	1385	199
874	1386	198
875	1387	196
876	1388	194
877	1389	193
878	1390	191
